Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
"🟢 SPY [ZOMERINSTROOM] Jun 1H | Ann: +1.04% | Pres: +0.55%",05/16/2026,,06/01/2026,,True,"Periode: Juni 1H (Post-OpEx) 2026
Signaal: ZOMERINSTROOM

JAARLIJKSE CYCLUS: Avg +1.04% | WR 64.7%
PRESIDENTIELE CYCLUS (Midterm Year (Jaar 2)): Avg +0.55% | WR 66.7%

PRIMAIRE OPTIE STRATEGIE:
Bull Put Credit Spread (20 Delta) of Call Debit Spread.

ALTERNATIEF:
Iron Condor met bullish bias.

STRIKE REGELS:
Short Put onder late-mei swing lows.

EXIT CRITERIA:
Winst verzilveren vóór medio juni.

VOLGENDE PERIODE:
Jun 2H: ⚠️ Pre-OpEx zomerzwakte en Quadruple Witching.",Options Desk,False
"🔴 SPY [ZOMERZWAKTE / PRE-OPEX] Jun 2H | Ann: -0.01% | Pres: -1.06%",06/02/2026,,06/19/2026,,True,"Periode: Juni 2H (Pre-OpEx) 2026
Signaal: ZOMERZWAKTE / PRE-OPEX

JAARLIJKSE CYCLUS: Avg -0.01% | WR 41.2%
PRESIDENTIELE CYCLUS (Midterm Year (Jaar 2)): Avg -1.06% | WR 44.4%

PRIMAIRE OPTIE STRATEGIE:
Bear Call Credit Spread of Delta Neutral Iron Butterfly.

ALTERNATIEF:
Protective Puts ter bescherming van Q2 winsten.

STRIKE REGELS:
Verkoop calls boven weerstand.

EXIT CRITERIA:
Posities sluiten op OpEx Friday.

VOLGENDE PERIODE:
Jul 1H: 🚀 Vroeg Juli instroom van pensioengelden.",Options Desk,False
"🟢 SPY [JULI LIQUIDITEITSINSTROOM] Jul 1H | Ann: +0.52% | Pres: -0.21%",06/20/2026,,07/03/2026,,True,"Periode: Juli 1H (Post-OpEx) 2026
Signaal: JULI LIQUIDITEITSINSTROOM

JAARLIJKSE CYCLUS: Avg +0.52% | WR 61.8%
PRESIDENTIELE CYCLUS (Midterm Year (Jaar 2)): Avg -0.21% | WR 55.6%

PRIMAIRE OPTIE STRATEGIE:
Bull Put Credit Spread (15 Delta) of Call Debit Spread.

ALTERNATIEF:
Covered Strangle.

STRIKE REGELS:
Koop 50-Delta Call, verkoop 25-Delta Call.

EXIT CRITERIA:
Winst nemen vóór midden juli.

VOLGENDE PERIODE:
Jul 2H: Zomertop vorming en start Q2 cijfers.",Options Desk,False
"🟡 SPY [ZOMERTOP / CONSOLIDATIE] Jul 2H | Ann: +0.51% | Pres: -0.47%",07/04/2026,,07/17/2026,,True,"Periode: Juli 2H (Pre-OpEx) 2026
Signaal: ZOMERTOP / CONSOLIDATIE

JAARLIJKSE CYCLUS: Avg +0.51% | WR 58.8%
PRESIDENTIELE CYCLUS (Midterm Year (Jaar 2)): Avg -0.47% | WR 55.6%

PRIMAIRE OPTIE STRATEGIE:
Delta Neutral Iron Condor of Call Credit Spread.

ALTERNATIEF:
Collars ter bescherming van de July 1H winsten.

STRIKE REGELS:
Ruime strikes (10-15 Delta) vanwege 'summer chop'.

EXIT CRITERIA:
Geen overnight exposure meenemen naar Augustus.

VOLGENDE PERIODE:
Aug 1H: Midterm toont historisch kracht (+1.29%, 78% WR).",Options Desk,False
"🟢 SPY [MIDTERM AUGUSTUS VEERKRACHT] Aug 1H | Ann: +0.30% | Pres: +1.29%",07/18/2026,,08/03/2026,,True,"Periode: Augustus 1H (Post-OpEx) 2026
Signaal: MIDTERM AUGUSTUS VEERKRACHT

JAARLIJKSE CYCLUS: Avg +0.30% | WR 58.8%
PRESIDENTIELE CYCLUS (Midterm Year (Jaar 2)): Avg +1.29% | WR 77.8%

PRIMAIRE OPTIE STRATEGIE:
Bull Put Credit Spread (20 Delta) of Bull Call Spread.

ALTERNATIEF:
Long Volatiliteit / VIX Calls als macro-verzekering.

STRIKE REGELS:
Short Put onder steunniveau van eind juli.

EXIT CRITERIA:
Winst veiligstellen bij 50% max profit.

VOLGENDE PERIODE:
Aug 2H: Jackson Hole centrale bankiers conferentie.",Options Desk,False
"🟢🟡 SPY [JACKSON HOLE DRIFT] Aug 2H | Ann: +0.12% | Pres: +1.34%",08/04/2026,,08/21/2026,,True,"Periode: Augustus 2H (Pre-OpEx) 2026
Signaal: JACKSON HOLE DRIFT

JAARLIJKSE CYCLUS: Avg +0.12% | WR 67.6%
PRESIDENTIELE CYCLUS (Midterm Year (Jaar 2)): Avg +1.34% | WR 77.8%

PRIMAIRE OPTIE STRATEGIE:
Iron Condor of Bull Put Spread (15 Delta).

ALTERNATIEF:
Calendar Spreads.

STRIKE REGELS:
16-Delta limits, focus op theta decay.

EXIT CRITERIA:
Sluiten vóór het begin van gevreesd September!

VOLGENDE PERIODE:
Sep 1H: ⚠️ Start van de beruchtste beursmaand van het jaar (-1.42% Midterm).",Options Desk,False
"🔴 SPY [SEPTEMBER KATER (RISICO)] Sep 1H | Ann: +0.28% | Pres: -1.42%",08/22/2026,,09/04/2026,,True,"Periode: September 1H (Post-OpEx) 2026
Signaal: SEPTEMBER KATER (RISICO)

JAARLIJKSE CYCLUS: Avg +0.28% | WR 57.6%
PRESIDENTIELE CYCLUS (Midterm Year (Jaar 2)): Avg -1.42% | WR 50.0%

PRIMAIRE OPTIE STRATEGIE:
Bear Put Debit Spread of Cash verhogen.

ALTERNATIEF:
Long Puts als downside hedge.

STRIKE REGELS:
ATM/OTM Put spreads met 21-30 DTE.

EXIT CRITERIA:
Neem snelle deelwinsten bij marktcorrecties.

VOLGENDE PERIODE:
Sep 2H: Pre-OpEx stabilisatie vóór de beruchte Oktober bodem.",Options Desk,False
"🟢🟡★ SPY [PRE-OPEX STABILISATIE ★ HUIDIG] Sep 2H | Ann: +0.53% | Pres: +0.33%",09/05/2026,,09/18/2026,,True,"Periode: September 2H (Pre-OpEx) 2026
Signaal: PRE-OPEX STABILISATIE ★ HUIDIG

JAARLIJKSE CYCLUS: Avg +0.53% | WR 66.7%
PRESIDENTIELE CYCLUS (Midterm Year (Jaar 2)): Avg +0.33% | WR 62.5%

PRIMAIRE OPTIE STRATEGIE:
Iron Condor (Delta-Neutraal) of lichte Bull Put Spread (15 Delta).

ALTERNATIEF:
Short Strangle met ruime marges om theta te verzamelen.

STRIKE REGELS:
Call spread op recente weerstand, Put spread ruim onder september support.

EXIT CRITERIA:
ALLES SLUITEN OP OPEX FRIDAY! Neem geen long exposure mee naar Oktober 1H!

VOLGENDE PERIODE:
🚨 OKTOBER 1H: DE GEVAARLIJKSTE PERIODE VAN HET JAAR (-1.45%, 25% WR)!",Options Desk,False
"🔴🔴🚨 SPY [CAPITULATIE BODEM (MAX DUBBEL RISICO)] Oct 1H | Ann: -0.88% | Pres: -1.45%",09/19/2026,,10/02/2026,,True,"Periode: Oktober 1H (Post-OpEx) 2026
Signaal: CAPITULATIE BODEM (MAX DUBBEL RISICO)

JAARLIJKSE CYCLUS: Avg -0.88% | WR 42.4%
PRESIDENTIELE CYCLUS (Midterm Year (Jaar 2)): Avg -1.45% | WR 25.0%

PRIMAIRE OPTIE STRATEGIE:
Agressieve Hedges: Bear Put Debit Spreads, Long Puts of Long VIX Calls.

ALTERNATIEF:
100% Cash voor risk-averse handelaren; bereid buy-the-dip orders voor.

STRIKE REGELS:
Koop 50-Delta Puts zodra support breekt. Wacht met calls tot extreme capitulatie (VIX > 25-30).

EXIT CRITERIA:
Hedges agressief verzilveren rond OpEx Friday wanneer paniek maximaal is.

VOLGENDE PERIODE:
🚀 OKTOBER 2H: DE GROTE TURNAROUND! Het startschot voor de mega eindejaarsrally (+1.72%, 62% WR)!",Options Desk,False
"🟢🟢🚀 SPY [DE GROTE PIVOT / TURNAROUND] Oct 2H | Ann: +0.62% | Pres: +1.72%",10/03/2026,,10/16/2026,,True,"Periode: Oktober 2H (Pre-OpEx) 2026
Signaal: DE GROTE PIVOT / TURNAROUND

JAARLIJKSE CYCLUS: Avg +0.62% | WR 57.6%
PRESIDENTIELE CYCLUS (Midterm Year (Jaar 2)): Avg +1.72% | WR 62.5%

PRIMAIRE OPTIE STRATEGIE:
Bull Call Debit Spread (+0.60 Delta / -0.30 Delta) of Risk Reversal (Sell OTM Put, Koop ATM Call).

ALTERNATIEF:
Agressieve Bull Put Spreads op oversold niveaus.

STRIKE REGELS:
Koop ATM Calls met 45-60 DTE gericht op de eindejaarsrally.

EXIT CRITERIA:
Laat winnaars lopen; rol opwaarts door naar November.

VOLGENDE PERIODE:
Nov 1H: Post-Election Relief Rally (+1.63% Midterm, 62% WR)!",Options Desk,False
"🟢🟢 SPY [POST-ELECTION RELIEF RALLY] Nov 1H | Ann: +1.34% | Pres: +1.63%",10/17/2026,,11/02/2026,,True,"Periode: November 1H (Post-OpEx) 2026
Signaal: POST-ELECTION RELIEF RALLY

JAARLIJKSE CYCLUS: Avg +1.34% | WR 66.7%
PRESIDENTIELE CYCLUS (Midterm Year (Jaar 2)): Avg +1.63% | WR 62.5%

PRIMAIRE OPTIE STRATEGIE:
Bull Call Debit Spread of ATM Long Calls.

ALTERNATIEF:
Bull Put Credit Spread (20 Delta).

STRIKE REGELS:
Verkoop out-of-the-money calls 3-5% boven de markt.

EXIT CRITERIA:
Winst vasthouden richting Thanksgiving.

VOLGENDE PERIODE:
👑 NOVEMBER 2H: HET KROONJUWEEL! 100% WIN RATE IN MIDTERM JAREN (+2.35%)!",Options Desk,False
"🟢🟢🟢👑 SPY [KROONJUWEEL A++ (100% WIN RATE)] Nov 2H | Ann: +0.92% | Pres: +2.35%",11/03/2026,,11/20/2026,,True,"Periode: November 2H (Pre-OpEx) 2026
Signaal: KROONJUWEEL A++ (100% WIN RATE)

JAARLIJKSE CYCLUS: Avg +0.92% | WR 69.7%
PRESIDENTIELE CYCLUS (Midterm Year (Jaar 2)): Avg +2.35% | WR 100.0%

PRIMAIRE OPTIE STRATEGIE:
Maximale Bullish Exposure: Deep ITM Call LEAPS, Bull Call Spreads, Synthetic Longs.

ALTERNATIEF:
Agressief verkopen van OTM Puts (30 Delta) om royale premie op te strijken.

STRIKE REGELS:
Koop 65-Delta Long Calls, verkoop 25-Delta Calls; of naked long calls.

EXIT CRITERIA:
Winst nemen vóór de eerste week van december.

VOLGENDE PERIODE:
Dec 1H: Start van de Santa Claus Rally (+1.51% Jaarlijks, 79% WR).",Options Desk,False
"🟢 SPY [SANTA RALLY KICK-OFF] Dec 1H | Ann: +1.51% | Pres: +0.60%",11/21/2026,,12/04/2026,,True,"Periode: December 1H (Post-OpEx) 2026
Signaal: SANTA RALLY KICK-OFF

JAARLIJKSE CYCLUS: Avg +1.51% | WR 78.8%
PRESIDENTIELE CYCLUS (Midterm Year (Jaar 2)): Avg +0.60% | WR 62.5%

PRIMAIRE OPTIE STRATEGIE:
Bull Put Credit Spread (15-20 Delta) of Covered Calls.

ALTERNATIEF:
Iron Condor met bullish skew.

STRIKE REGELS:
Short Put ruim onder de november low.

EXIT CRITERIA:
50% winst target voor OpEx Friday.

VOLGENDE PERIODE:
Dec 2H: Eindejaars window dressing en rollover naar Jan 1H.",Options Desk,False
"🟡🔴 SPY [WINDOW DRESSING / DIVERGENTIE] Dec 2H | Ann: -0.18% | Pres: -1.59%",12/05/2026,,12/18/2026,,True,"Periode: December 2H (Pre-OpEx) 2026
Signaal: WINDOW DRESSING / DIVERGENTIE

JAARLIJKSE CYCLUS: Avg -0.18% | WR 60.6%
PRESIDENTIELE CYCLUS (Midterm Year (Jaar 2)): Avg -1.59% | WR 50.0%

PRIMAIRE OPTIE STRATEGIE:
Iron Condor (Theta Melken) of Long Call rollen naar Januari.

ALTERNATIEF:
Cash opbouwen voor de Jan 1H A+ setup.

STRIKE REGELS:
Ver OTM strikes (10 Delta) om holiday theta te incasseren.

EXIT CRITERIA:
Posities sluiten vóór 31 december; nieuw handelsplan klaarzetten!

VOLGENDE PERIODE:
Jan 1H: Het nieuwe jaar start met A+ Bull Confluence (+1.28% tot +1.73%)!",Options Desk,False
